car_id,city,brand,price,sale_date,owner_name,status
C1059,广州,大众,12.9,2024/10/25,李静,sold
C1060,长沙,奔驰,58.8,2024/6/12,唐洋,pending
C1061,西安,丰田,34.9,2024/7/1,周宁,sold
C1062,青岛,长安,12.9,2024/2/1,陈军,sold
C1063,长沙,丰田,24.4,2024/1/12,张敏,sold
C1064,广州,理想,35.1,2024/6/13,郑娜,sold
C1065,深圳,蔚来,53.4,2024/9/2,唐超,pending
C1066,北京,蔚来,53.8,2024/12/8,唐娜,sold
C1067,西安,奔驰,69.8,2024/1/14,李杰,sold
C1068,深圳,长城,19.4,2024/12/2,林娜,sold
C1069,成都,长城,11.9,2024/6/12,郭静,sold
C1070,沈阳,五菱,7.6,2024/7/2,刘敏,sold
C1071,成都,特斯拉,37,2024/2/8,沈超,pending
C1072,长沙,蔚来,41.4,2024/10/21,郑娜,sold
C1073,昆明,丰田,30.9,2024/5/24,吴强,sold
C1074,成都,长安,10.6,2024/10/17,张军,sold
C1075,苏州,小鹏,24.5,2024/9/26,张鹏,sold
C1076,郑州,奔驰,75.7,2024/3/2,吴强,sold
C1077,沈阳,特斯拉,36.3,2024/1/11,沈敏,pending
C1078,南京,吉利,10.2,2024/9/23,王超,sold
C1079,成都,理想,42.5,2024/11/14,孙宁,pending
C1080,南京,小鹏,40.7,2024/9/15,周静,pending
C1081,武汉,小鹏,29,2024/7/2,杨丽,pending
C1082,昆明,五菱,7.8,2024/4/1,沈鹏,sold
C1083,沈阳,宝马,73.7,2024/10/22,孙强,pending
C1084,苏州,特斯拉,47.8,2024/9/14,孙军,pending
C1085,上海,特斯拉,37.9,2024/5/7,杨丽,sold
C1086,青岛,比亚迪,8.4,2024/10/6,陈静,sold
C1087,苏州,长城,13.2,2024/1/1,林超,pending
C1088,广州,长城,11.4,2024/11/28,刘军,pending
C1089,深圳,奔驰,37.4,2024/2/29,陈超,sold
C1090,苏州,小鹏,37,2024/1/4,沈洋,sold
C1091,郑州,长安,9.7,2024/10/2,杨敏,pending
C1092,武汉,特斯拉,32.5,2024/9/8,郑超,sold
C1093,苏州,五菱,10.7,2024/12/18,沈伟,sold
C1094,青岛,蔚来,48.4,2024/11/8,王洋,sold
C1095,沈阳,吉利,8.2,2024/11/6,刘芳,sold
C1096,武汉,奔驰,61.5,2024/10/18,陈洋,sold
C1097,广州,小鹏,38.8,2024/2/21,郑涛,sold
C1098,北京,蔚来,36.3,2024/8/23,赵敏,sold
C1099,武汉,大众,16.7,2024/8/25,沈静,sold
C1100,上海,奔驰,67,2024/11/16,吴洋,sold
C1101,郑州,蔚来,33.8,2024/8/30,林军,sold
C1102,广州,五菱,13.7,2024/6/18,刘伟,pending
C1103,杭州,丰田,24.4,2024/9/8,李颖,sold
C1104,北京,比亚迪,9,2024/2/22,王军,sold
C1105,武汉,比亚迪,18.8,2024/5/27,郭涛,sold
C1106,重庆,奥迪,36.4,2024/8/3,沈静,pending
C1107,重庆,比亚迪,18.9,2024/8/14,刘伟,sold
C1108,宁波,理想,32.4,2024/8/17,唐杰,pending
C1109,青岛,丰田,14.6,2024/9/30,李涛,sold
C1110,杭州,奥迪,27.8,2024/11/15,郭敏,sold
C1111,成都,宝马,62.5,2024/1/3,郑静,sold
C1112,北京,理想,40.7,2024/8/3,赵鹏,sold
C1113,南京,小鹏,39.1,2024/8/12,陈芳,sold
C1114,南京,比亚迪,25.7,2024/6/8,王颖,sold
C1115,北京,宝马,69.6,2024/8/15,张强,sold
C1116,郑州,五菱,4.8,2024/4/16,张丽,sold
C1117,杭州,吉利,17.3,2024/7/27,赵丽,sold
C1118,深圳,奔驰,87.7,2024/12/24,陈静,pending
C1119,长沙,宝马,34,2024/12/25,郑娜,sold
C1120,苏州,比亚迪,15.6,2024/11/4,王敏,pending
C1121,广州,比亚迪,30.7,2024/8/18,杨超,pending
C1122,宁波,丰田,30.8,2024/10/4,林军,pending
C1123,苏州,蔚来,55.4,2024/1/4,李颖,pending
C1124,南京,大众,25.5,2024/7/25,王娜,pending
C1125,北京,蔚来,47.2,2024/1/3,杨强,sold
C1126,北京,奔驰,63.2,2024/1/18,周鹏,sold
C1127,沈阳,吉利,9.8,2024/5/7,唐鹏,sold
C1128,沈阳,宝马,58.1,2024/11/7,陈洋,sold
C1129,西安,奥迪,48.8,2024/2/8,郑军,pending
C1130,南京,大众,13.3,2024/2/12,陈超,sold
C1131,上海,小鹏,18.8,2024/9/19,赵超,sold
C1132,南京,长城,18.4,2024/1/6,陈颖,sold
C1133,青岛,特斯拉,45.6,2024/3/21,李超,pending
C1134,重庆,理想,52.5,2024/10/21,吴杰,pending
C1135,青岛,本田,18.1,2024/11/6,郭静,sold
C1136,沈阳,小鹏,28.6,2024/10/27,孙丽,sold
C1137,南京,长安,7.5,2024/10/9,郭伟,sold
C1138,广州,特斯拉,40.6,2024/7/20,杨丽,sold
C1139,苏州,特斯拉,30.3,2024/10/25,郭军,sold
C1140,深圳,大众,29.2,2024/2/22,王丽,sold
C1141,重庆,宝马,76.2,2024/6/19,周宁,sold
C1142,苏州,奔驰,71.8,2024/10/1,王涛,sold
C1143,广州,吉利,17.8,2024/8/21,唐丽,sold
C1144,郑州,大众,18.2,2024/9/11,沈超,sold
C1145,北京,大众,15.6,2024/10/23,陈杰,sold
C1146,杭州,宝马,68.1,2024/8/13,郭丽,sold
C1147,南京,五菱,3.5,2024/9/19,周敏,sold
C1148,重庆,五菱,8,2024/10/3,杨超,sold
C1149,宁波,比亚迪,26.5,2024/11/30,孙宁,sold
C1150,北京,蔚来,47.5,2024/11/24,孙伟,sold
C1151,成都,特斯拉,39.6,2024/9/13,孙强,sold
C1152,杭州,五菱,8.8,2024/11/2,郭洋,sold
C1153,青岛,本田,29.9,2024/6/13,赵涛,pending
C1154,广州,奥迪,52.6,2024/5/20,唐敏,sold
C1155,广州,小鹏,22.6,2024/5/9,张宁,sold
C1156,上海,奔驰,84.5,2024/1/26,郑鹏,sold
C1157,沈阳,五菱,4,2024/4/18,唐超,pending
C1158,重庆,小鹏,26.9,2024/7/3,刘军,sold
C1159,重庆,吉利,18.8,2024/7/7,刘芳,sold
C1160,西安,奥迪,53.4,2024/2/14,林颖,sold
C1161,深圳,奔驰,84.9,2024/2/21,郭鹏,sold
C1162,成都,比亚迪,10.9,2024/2/18,刘杰,sold
C1163,昆明,奔驰,51.7,2024/11/8,沈敏,sold
C1164,昆明,本田,23.7,2024/10/9,王鹏,sold
C1165,沈阳,蔚来,52.6,2024/8/4,张涛,pending
C1166,宁波,小鹏,39,2024/11/9,郑鹏,sold
C1167,南京,比亚迪,9,2024/9/28,周伟,pending
C1168,长沙,理想,32,2024/12/29,林伟,sold
C1169,深圳,长城,24.6,2024/6/24,沈芳,pending
C1170,苏州,比亚迪,27.5,2024/3/8,吴芳,sold
C1171,沈阳,奥迪,62.8,2024/12/3,李芳,pending
C1172,成都,吉利,18.3,2024/1/14,周强,pending
C1173,广州,比亚迪,29.1,2024/6/17,陈杰,sold
C1174,广州,丰田,24.1,2024/7/15,陈芳,sold
C1175,杭州,小鹏,38.7,2024/9/9,吴涛,sold
C1176,苏州,奥迪,57.4,2024/5/20,陈芳,sold
C1177,沈阳,理想,43.6,2024/7/9,刘颖,sold
C1178,昆明,丰田,28.3,2024/3/10,周杰,pending
C1179,南京,蔚来,34.9,2024/10/5,刘杰,pending
C1180,上海,五菱,7.1,2024/6/6,郭涛,sold
C1181,上海,宝马,66.9,2024/12/29,赵超,sold
C1182,重庆,丰田,36.2,2024/4/13,吴军,pending
C1183,苏州,长城,25.1,2024/2/16,陈丽,pending
C1184,深圳,小鹏,38.4,2024/9/2,赵强,sold
C1185,武汉,本田,11.1,2024/12/30,唐强,sold
C1186,西安,理想,36.3,2024/3/21,孙丽,sold
C1187,西安,奥迪,67.6,2024/1/17,杨杰,sold
C1188,昆明,长安,17.1,2024/10/2,唐丽,sold
C1189,深圳,理想,49.4,2024/8/12,张芳,pending
C1190,北京,本田,13.8,2024/2/20,林军,sold
C1191,杭州,长安,16.5,2024/10/23,周敏,sold
C1192,杭州,理想,36,2024/1/26,周强,sold
C1193,成都,蔚来,40.2,2024/9/26,林涛,sold
C1194,广州,奔驰,78.3,2024/11/12,郑娜,pending
C1195,杭州,小鹏,33.8,2024/12/31,陈超,sold
C1196,昆明,长城,10.3,2024/8/5,吴涛,sold
C1197,北京,宝马,68.6,2024/10/28,郭静,pending
C1198,重庆,长安,15,2024/5/20,吴涛,sold
C1199,成都,长城,13.6,2024/1/11,周杰,pending
C1200,深圳,奔驰,78.5,2024/8/7,赵丽,sold
C1201,杭州,比亚迪,10.7,2024/4/12,刘强,pending
C1202,宁波,长城,12,2024/2/6,王丽,sold
C1203,重庆,长安,15.6,2024/12/11,王丽,sold
C1204,成都,小鹏,22.4,2024/11/7,张芳,sold
C1205,郑州,宝马,62.8,2024/5/2,王娜,sold
C1206,南京,奥迪,31.8,2024/7/17,周敏,sold
C1207,成都,本田,22.6,2024/9/4,沈颖,sold
C1208,杭州,吉利,15.5,2024/7/19,张超,sold
C1209,深圳,丰田,28.6,2024/12/18,刘洋,sold
C1210,武汉,奥迪,36,2024/4/13,唐超,sold
C1211,宁波,小鹏,40.9,2024/10/16,陈敏,pending
C1212,武汉,比亚迪,14.2,2024/6/6,唐娜,sold
C1213,深圳,吉利,19.5,2024/9/20,郑敏,sold
C1214,南京,大众,12.8,2024/6/13,郭芳,sold
C1215,深圳,蔚来,33.5,2024/4/22,吴颖,sold
C1216,上海,小鹏,33,2024/12/11,刘超,sold
C1217,青岛,奔驰,69,2024/8/7,孙强,sold
C1218,昆明,大众,15.6,2024/9/24,王强,pending
C1219,南京,小鹏,38.5,2024/10/19,郑强,sold
C1220,武汉,奔驰,92.2,2024/8/13,沈强,pending
C1221,郑州,大众,24.8,2024/7/21,郑静,sold
C1222,北京,小鹏,39.5,2024/7/20,赵军,sold
C1223,宁波,宝马,68.1,2024/2/26,赵宁,sold
C1224,杭州,五菱,3.1,2024/9/14,陈超,sold
C1225,杭州,小鹏,24.4,2024/5/9,唐杰,sold
C1226,深圳,小鹏,41.4,2024/3/15,张超,pending
C1227,长沙,五菱,4.6,2024/7/2,陈鹏,pending
C1228,宁波,长城,23.3,2024/10/11,沈洋,pending
C1229,苏州,理想,46.4,2024/4/13,郭静,sold
C1230,成都,长安,15.5,2024/8/29,孙强,sold
C1231,苏州,长安,14,2024/10/4,郑娜,sold
C1232,成都,丰田,17.5,2024/7/17,赵敏,sold
C1233,青岛,大众,11.8,2024/12/15,杨军,sold
C1234,苏州,小鹏,39.5,2024/11/14,刘宁,sold
C1235,南京,奔驰,99.9,2024/8/19,陈宁,sold
C1236,广州,宝马,45.8,2024/6/26,林颖,sold
C1237,长沙,特斯拉,29.9,2024/11/23,吴涛,sold
C1238,上海,比亚迪,12.2,2024/5/9,赵军,sold
C1239,南京,理想,47.2,2024/11/14,周军,sold
C1240,郑州,蔚来,35.2,2024/6/14,杨宁,sold
C1241,天津,宝马,50.4,2024/11/22,李杰,sold
C1242,昆明,奔驰,72.7,2024/3/5,林宁,pending
C1243,沈阳,小鹏,27.1,2024/1/2,赵丽,sold
C1244,深圳,长安,15.5,2024/4/29,郭强,sold
C1245,苏州,宝马,82.1,2024/8/31,王娜,pending
C1246,北京,五菱,9.6,2024/8/23,孙军,sold
C1247,广州,奥迪,59.8,2024/12/16,林涛,sold
C1248,昆明,小鹏,33.8,2024/8/2,郑杰,pending
C1249,武汉,奔驰,56.6,2024/11/26,林洋,pending
C1250,长沙,特斯拉,43.2,2024/10/2,张超,sold
C1251,深圳,理想,52.6,2024/1/22,郑超,pending
C1252,苏州,奥迪,68.3,2024/1/1,唐洋,sold
C1253,重庆,宝马,93.4,2024/4/18,刘丽,pending
C1254,北京,奔驰,65.1,2024/1/14,李颖,sold
C1255,郑州,五菱,5,2024/1/23,周敏,pending
C1256,天津,长城,19.1,2024/2/10,陈娜,sold
C1257,天津,宝马,57.1,2024/9/1,赵颖,pending
C1258,昆明,理想,36.3,2024/9/7,陈洋,sold
C1259,上海,特斯拉,39.8,2024/6/12,郭杰,sold
C1260,广州,吉利,14,2024/5/13,沈宁,pending
C1261,北京,宝马,55.8,2024/10/13,李超,pending
C1262,武汉,蔚来,39.2,2024/8/28,唐静,sold
C1263,广州,蔚来,37,2024/10/16,刘杰,sold
C1264,武汉,奥迪,61.3,2024/12/22,王涛,sold
C1265,沈阳,特斯拉,33.1,2024/7/25,孙丽,sold
C1266,郑州,小鹏,28,2024/3/30,唐伟,sold
C1267,郑州,大众,22.5,2024/10/1,孙军,sold
C1268,宁波,比亚迪,20.4,2024/9/7,王超,sold
C1269,宁波,宝马,35.4,2024/9/25,林敏,pending
C1270,昆明,奔驰,74.2,2024/7/16,陈涛,sold
C1271,宁波,五菱,10.8,2024/10/24,刘伟,sold
C1272,宁波,五菱,7.9,2024/10/26,沈颖,sold
C1273,深圳,丰田,34.5,2024/7/22,王洋,pending
C1274,北京,丰田,32.9,2024/10/19,林军,sold
C1275,郑州,小鹏,37.2,2024/8/9,赵军,sold
C1276,天津,蔚来,32.9,2024/7/12,王宁,sold
C1277,昆明,大众,26.3,2024/9/11,王颖,pending
C1278,武汉,蔚来,48.4,2024/12/21,沈超,sold
C1279,天津,比亚迪,6.1,2024/9/22,周敏,pending
C1280,成都,五菱,8.3,2024/8/8,唐洋,sold
C1281,北京,本田,13.1,2024/11/30,林宁,sold
C1282,广州,奔驰,61.8,2024/11/10,赵颖,pending
C1283,宁波,奔驰,33.9,2024/9/20,郭涛,sold
C1284,苏州,比亚迪,17.2,2024/5/3,杨超,sold
C1285,上海,理想,29.5,2024/9/5,林杰,sold
C1286,昆明,奔驰,73.4,2024/3/13,赵敏,sold
C1287,昆明,五菱,11.2,2024/11/12,郑伟,pending
C1288,郑州,奥迪,67.3,2024/4/21,刘军,sold
C1289,成都,宝马,74.5,2024/7/12,郑娜,sold
C1290,天津,宝马,76.3,2024/10/19,唐杰,pending
C1291,成都,长安,7.2,2024/12/15,郭宁,sold
C1292,长沙,本田,19,2024/7/2,孙颖,sold
C1293,宁波,吉利,17,2024/7/6,张静,sold
C1294,南京,宝马,33.8,2024/5/15,刘芳,sold
C1295,深圳,奔驰,92.6,2024/10/14,张宁,sold
C1296,杭州,奔驰,34.8,2024/4/13,周静,sold
C1297,昆明,长安,16.2,2024/10/27,王颖,sold
C1298,北京,小鹏,30.6,2024/12/20,郑伟,sold
C1299,青岛,丰田,33.4,2024/8/9,郑洋,sold
C1300,北京,特斯拉,44.5,2024/10/9,郑芳,pending
C1301,沈阳,奥迪,67.2,2024/7/10,郭超,pending
C1302,青岛,长城,11.4,2024/10/16,赵伟,sold
C1303,南京,本田,12.4,2024/2/29,周杰,sold
C1304,长沙,吉利,10.4,2024/12/2,周芳,sold
C1305,宁波,本田,15.2,2024/5/3,沈洋,sold
C1306,武汉,吉利,11.8,2024/12/28,赵鹏,sold
C1307,西安,奥迪,30.2,2024/9/18,唐芳,sold
C1308,深圳,特斯拉,34.8,2024/4/22,杨军,pending
C1309,北京,长安,17.1,2024/12/16,孙超,sold
C1310,苏州,大众,18.8,2024/12/15,沈强,sold
C1311,南京,长安,8.9,2024/9/20,周娜,pending
C1312,昆明,吉利,10.6,2024/8/18,张鹏,sold
C1313,北京,奔驰,88.2,2024/9/14,沈洋,pending
C1314,沈阳,吉利,17.4,2024/4/16,刘娜,sold
C1315,杭州,宝马,38.3,2024/2/9,赵娜,sold
C1316,郑州,奔驰,84.1,2024/11/17,孙洋,sold
C1317,广州,理想,33.6,2024/4/5,李宁,sold
C1318,武汉,本田,26.4,2024/8/31,陈杰,sold
C1319,苏州,奔驰,94,2024/7/17,杨颖,sold
C1320,杭州,本田,12.9,2024/1/16,林敏,sold
C1321,深圳,奥迪,36.7,2024/10/20,赵军,sold
C1322,成都,丰田,19.1,2024/12/6,李洋,sold
C1323,昆明,长安,17.6,2024/12/12,吴宁,sold
C1324,杭州,丰田,24.6,2024/9/3,王敏,pending
C1325,杭州,五菱,6.9,2024/8/16,周涛,sold
C1326,重庆,长安,14.4,2024/5/4,杨杰,sold
C1327,苏州,奔驰,76.9,2024/7/27,王伟,pending
C1328,宁波,丰田,23,2024/11/6,张静,sold
C1329,长沙,丰田,15.6,2024/1/12,吴强,sold
C1330,重庆,长城,20.2,2024/10/27,陈洋,pending
C1331,杭州,本田,21.6,2024/7/15,刘宁,pending
C1332,沈阳,五菱,11,2024/3/11,林杰,sold
C1333,长沙,大众,16,2024/10/4,杨伟,sold
C1334,郑州,理想,29.8,2024/12/2,张丽,sold
C1335,广州,理想,34,2024/6/16,杨宁,sold
C1336,长沙,长城,11.4,2024/5/11,赵芳,sold
C1337,成都,蔚来,32.4,2024/2/2,郭娜,sold
C1338,沈阳,奥迪,39.7,2024/12/13,唐强,sold
C1339,苏州,大众,13.6,2024/4/21,唐宁,sold
C1340,苏州,丰田,28.7,2024/4/23,陈洋,sold
C1341,成都,本田,18.2,2024/7/11,李静,sold
C1342,北京,长城,24.3,2024/6/18,沈静,sold
C1343,青岛,大众,18.5,2024/4/17,周鹏,pending
C1344,昆明,宝马,71,2024/4/14,郑颖,sold
C1345,武汉,奔驰,44.5,2024/1/6,杨敏,sold
C1346,杭州,小鹏,27.5,2024/2/7,沈涛,pending
C1347,武汉,本田,13.4,2024/12/23,唐伟,pending
C1348,武汉,五菱,8.7,2024/10/18,沈超,pending
C1349,南京,本田,10.6,2024/11/29,刘伟,sold
C1350,宁波,吉利,19.6,2024/11/4,陈强,sold
C1351,宁波,吉利,20.9,2024/6/11,李涛,pending
C1352,北京,宝马,77.9,2024/7/14,杨涛,sold
C1353,杭州,本田,22.8,2024/10/29,林静,sold
C1354,天津,大众,28.6,2024/11/27,周洋,sold
C1355,宁波,丰田,18.4,2024/11/3,王军,sold
C1356,昆明,小鹏,42.4,2024/5/16,陈杰,pending
C1357,北京,理想,48.3,2024/10/31,周超,sold
C1358,郑州,大众,14.8,2024/3/9,孙杰,sold
C1359,天津,本田,22.3,2024/2/13,张超,pending
C1360,青岛,丰田,33.4,2024/8/18,张娜,sold
C1361,西安,长城,20.1,2024/7/6,陈敏,sold
C1362,杭州,长安,13.4,2024/8/11,郑敏,sold
C1363,南京,丰田,16.7,2024/2/1,陈涛,pending
C1364,沈阳,丰田,30.4,2024/11/18,陈敏,sold
C1365,杭州,特斯拉,42.7,2024/12/28,李芳,sold
C1366,长沙,特斯拉,44.5,2024/7/19,孙敏,pending
C1367,苏州,吉利,13.7,2024/11/4,李杰,sold
C1368,宁波,特斯拉,42.4,2024/11/29,郭鹏,pending
C1369,北京,吉利,15.1,2024/8/26,张宁,sold
C1370,长沙,理想,35.5,2024/8/19,张鹏,pending
C1371,昆明,特斯拉,36.8,2024/8/5,郑杰,sold
C1372,深圳,蔚来,38.4,2024/7/22,吴洋,sold
C1373,深圳,奔驰,85.1,2024/2/9,沈强,sold
C1374,沈阳,奔驰,91.7,2024/7/22,刘杰,pending
C1375,沈阳,蔚来,64.5,2024/1/27,林鹏,pending
C1376,郑州,长城,19.9,2024/8/23,王洋,pending
C1377,郑州,宝马,30.8,2024/2/28,沈鹏,sold
C1378,成都,特斯拉,36.6,2024/7/30,郑娜,sold
C1379,杭州,奔驰,107.6,2024/7/20,王丽,pending
C1380,昆明,理想,40.9,2024/10/31,周超,pending
C1381,广州,宝马,43.1,2024/6/18,郑丽,sold
C1382,杭州,比亚迪,6.2,2024/4/17,王娜,pending
C1383,广州,比亚迪,20.9,2024/12/9,李丽,sold
C1384,苏州,丰田,34.2,2024/12/12,杨鹏,sold
C1385,青岛,丰田,18.5,2024/11/2,陈超,pending
C1386,南京,理想,38.8,2024/8/8,周涛,sold
C1387,深圳,小鹏,34.1,2024/3/22,王芳,sold
C1388,青岛,吉利,16.5,2024/11/14,林敏,pending
C1389,苏州,奥迪,34.4,2024/11/30,吴杰,pending
C1390,青岛,丰田,23.9,2024/8/26,杨伟,pending
C1391,上海,长安,11.7,2024/5/29,李超,sold
C1392,成都,长安,10.6,2024/1/13,郑敏,sold
C1393,南京,宝马,53.8,2024/4/11,林军,sold
C1394,西安,宝马,83.2,2024/4/14,陈军,pending
C1395,西安,小鹏,32.7,2024/4/11,陈静,sold
C1396,苏州,长安,15.1,2024/2/19,林颖,pending
C1397,杭州,本田,14.2,2024/3/17,吴静,sold
C1398,昆明,本田,19,2024/12/30,李军,pending
C1399,沈阳,奔驰,72.2,2024/9/12,张敏,sold
C1400,昆明,特斯拉,40,2024/10/11,吴敏,sold
C1401,长沙,大众,25.5,2024/7/4,张超,pending
C1402,长沙,丰田,18.6,2024/9/18,王军,sold
C1403,上海,长城,20.4,2024/3/26,李颖,sold
C1404,天津,长城,16.8,2024/7/15,沈伟,sold
C1405,昆明,大众,25.8,2024/8/9,刘丽,sold
C1406,广州,比亚迪,12.6,2024/7/30,郭强,sold
C1407,郑州,奥迪,62.3,2024/2/10,赵超,sold
C1408,宁波,奔驰,49.4,2024/10/23,孙鹏,pending
C1409,武汉,特斯拉,33.2,2024/5/13,刘敏,sold
C1410,杭州,长安,7.7,2024/4/25,陈芳,sold
C1411,重庆,吉利,13,2024/11/7,赵静,sold
C1412,北京,大众,17.5,2024/7/1,周宁,sold
C1413,深圳,蔚来,41.4,2024/11/15,周涛,pending
C1414,北京,吉利,16.8,2024/11/28,沈丽,sold
C1415,杭州,丰田,35.9,2024/1/12,刘宁,pending
C1416,重庆,宝马,28.5,2024/5/29,孙涛,sold
C1417,郑州,理想,36,2024/10/20,杨芳,sold
C1418,重庆,五菱,7.7,2024/8/21,刘丽,sold
C1419,重庆,理想,29.2,2024/10/20,唐宁,sold
C1420,宁波,吉利,10.3,2024/9/13,杨颖,sold
C1421,广州,长安,15.9,2024/1/25,杨强,sold
C1422,南京,吉利,13.5,2024/11/12,赵超,sold
C1423,北京,丰田,12.3,2024/5/25,杨娜,sold
C1424,天津,长城,13,2024/10/22,陈敏,pending
C1425,青岛,丰田,32.7,2024/4/12,周强,sold
C1426,郑州,奔驰,58.5,2024/2/2,杨强,sold
C1427,郑州,理想,29,2024/6/28,郭芳,sold
C1428,重庆,本田,26.6,2024/12/12,林鹏,sold
C1429,成都,小鹏,30.3,2024/12/5,郑娜,pending
C1430,成都,吉利,19.1,2024/8/29,郭洋,pending
C1431,武汉,长城,11.5,2024/11/16,郭伟,sold
C1432,上海,特斯拉,37.6,2024/3/10,张涛,sold
C1433,北京,蔚来,51,2024/11/19,林超,sold
C1434,郑州,五菱,11.5,2024/2/17,陈鹏,sold
C1435,苏州,大众,16.1,2024/3/24,刘涛,sold
C1436,深圳,宝马,49.1,2024/6/28,李敏,sold
C1437,杭州,比亚迪,17.2,2024/9/20,唐静,sold
C1438,重庆,本田,13.9,2024/7/7,孙鹏,sold
C1439,宁波,吉利,12.6,2024/11/9,赵杰,sold
C1440,杭州,小鹏,19.1,2024/12/18,唐娜,sold
C1441,沈阳,理想,41,2024/9/30,林芳,pending
C1442,深圳,五菱,4.2,2024/10/6,吴超,pending
C1443,武汉,蔚来,39.9,2024/4/15,张洋,pending
C1444,西安,长城,25,2024/3/13,唐静,sold
C1445,广州,比亚迪,25.2,2024/2/25,王敏,pending
C1446,宁波,长安,11.7,2024/5/2,周洋,pending
C1447,南京,长城,22.8,2024/4/1,沈涛,sold
C1448,郑州,长安,13,2024/7/16,郭超,pending
C1449,成都,宝马,28,2024/12/21,赵静,sold
C1450,宁波,长安,14.9,2024/3/13,吴涛,sold
C1451,杭州,宝马,72.8,2024/4/28,郭洋,sold
C1452,西安,长城,23,2024/3/15,吴涛,sold
C1453,成都,比亚迪,6.4,2024/7/5,唐静,pending
C1454,宁波,奥迪,66.8,2024/9/15,沈静,pending
C1455,沈阳,吉利,10.2,2024/12/2,赵超,sold
C1456,成都,吉利,10.6,2024/12/10,林芳,sold
C1457,天津,理想,40.4,2024/9/13,王娜,pending
C1458,宁波,小鹏,22.7,2024/8/29,孙伟,sold
C1459,青岛,奔驰,58,2024/4/20,唐丽,sold
C1460,重庆,本田,16.6,2024/7/28,吴颖,sold
C1461,杭州,特斯拉,39.5,2024/4/17,杨涛,sold
C1462,西安,吉利,14.6,2024/9/30,王芳,sold
C1463,沈阳,小鹏,24.8,2024/9/15,张敏,sold
